source_event_id,n_traces,n_stations,n_s_picks,magnitude,depth_km,lat,lon,gap_deg,origin_time
21052118080,237,96,17,7.3,10.0,37.63,81.53,333.0,2021-05-21 18:01:05.230000
20121013190,613,428,559,6.64,75.71,24.74,122.0,67.0,2020-12-10 13:19:58.659999
21050305070,265,116,237,6.63,209.18,25.45,124.06,187.0,2021-05-03 05:07:29.559999
20041016450,438,259,359,6.58,179.35,20.54,122.17,215.0,2020-04-10 16:44:57.450000
21102405110,336,149,234,6.54,65.6,24.53,121.78,34.0,2021-10-24 05:11:34.670000
21032622020,245,113,229,6.53,194.51,25.79,125.29,143.0,2021-03-26 22:02:15.050000
21111015450,342,155,181,6.46,10.0,23.55,126.14,180.0,2021-11-10 15:45:14.880000
21041814140,336,149,264,6.26,14.42,23.86,121.48,45.0,2021-04-18 14:14:37.799999
20072612520,534,354,519,6.24,53.59,24.26,122.42,120.0,2020-07-26 12:52:29.809999
20061320180,526,346,402,6.09,55.55,24.26,122.44,119.0,2020-06-13 20:18:59.979999
21080421500,331,149,177,6.08,6.97,24.8,122.32,114.0,2021-08-04 21:50:45.399999
20093004370,488,331,464,6.02,105.95,24.84,122.1,125.0,2020-09-30 04:37:20.329999
20050303240,796,609,703,5.97,40.25,23.24,121.57,99.0,2020-05-03 03:24:40.899999
21090614000,331,148,285,5.94,41.09,23.85,122.08,53.0,2021-09-06 14:00:26.120000
21030209220,312,132,164,5.89,27.63,21.91,121.16,201.0,2021-03-02 09:23:00.810000
21010911350,290,122,280,5.84,72.0,24.73,122.02,100.0,2021-01-09 11:35:53.020000
21012507250,242,111,215,5.81,35.88,23.42,123.63,184.0,2021-01-25 07:25:38.049999
21041814110,333,148,235,5.8,16.3,23.87,121.48,66.0,2021-04-18 14:11:39.579999
21092522200,323,143,190,5.78,46.13,24.32,121.68,43.0,2021-09-25 22:21:19.629999
21020408130,303,128,143,5.77,50.36,21.46,121.87,198.0,2021-02-04 08:14:02.160000
20121018150,422,240,401,5.75,62.74,24.53,121.97,59.0,2020-12-10 18:15:08.560000
20021510590,670,500,527,5.73,8.32,23.86,121.51,68.0,2020-02-15 11:00:06.500000
21080608100,325,145,172,5.68,13.28,24.79,122.19,66.0,2021-08-06 08:11:04.710000
21020816561,294,125,248,5.67,24.67,24.37,122.02,71.0,2021-02-08 16:58:02.879999
20110601400,324,165,302,5.66,37.1,23.11,122.12,175.0,2020-11-06 01:40:18.269999
21091310410,332,147,281,5.61,46.1,24.12,121.01,24.0,2021-09-13 10:41:27.690000
21020816560,296,124,283,5.58,70.04,24.36,122.36,117.0,2021-02-08 16:56:31.429999
20082622150,283,117,247,5.58,139.99,24.97,123.18,254.0,2020-08-26 22:15:08.599999
21102405111,178,79,122,5.58,64.13,24.57,121.78,33.0,2021-10-24 05:12:42.649999
21032806400,269,117,254,5.54,94.66,24.54,122.75,168.0,2021-03-28 06:41:18.489999
21123006470,292,127,222,5.52,29.65,23.98,122.51,118.0,2021-12-30 06:47:09.699999
21120613050,286,124,266,5.51,105.43,24.86,122.05,114.0,2021-12-06 13:05:51.939999
21070722110,269,116,201,5.51,8.24,23.89,121.57,31.0,2021-07-07 22:11:55.570000
21011623100,256,107,158,5.51,21.1,22.54,121.35,118.0,2021-01-16 23:10:59.289999
21070711240,335,148,165,5.46,6.79,23.89,121.57,33.0,2021-07-07 11:24:58.530000
21061107330,324,144,129,5.46,10.62,23.89,121.53,23.0,2021-06-11 07:33:26.309999
21111413050,279,119,246,5.45,66.22,24.57,121.94,74.0,2021-11-14 13:05:15.199999
20110518360,375,223,325,5.43,25.85,22.6,121.37,112.0,2020-11-05 18:36:12.160000
20121005290,351,180,323,5.43,38.02,23.45,121.55,117.0,2020-12-10 05:29:38.579999
20061101380,333,172,332,5.43,90.79,24.5,122.39,116.0,2020-06-11 01:38:26.500000
21071322510,328,146,164,5.43,8.66,23.93,121.6,47.0,2021-07-13 22:52:05.269999
21080611120,318,142,158,5.4,7.2,23.16,121.29,47.0,2021-08-06 11:12:30.519999
20111607180,322,150,275,5.38,68.24,21.98,121.28,181.0,2020-11-16 07:19:12.119999
20092820500,407,230,279,5.37,11.5,22.38,121.02,67.0,2020-09-28 20:50:54.710000
21112409550,275,116,213,5.35,26.77,24.05,122.41,101.0,2021-11-24 09:55:18.960000
21080421560,230,98,177,5.35,16.48,24.78,122.28,156.0,2021-08-04 21:56:27.160000
21061121580,330,146,185,5.33,5.93,22.65,121.06,55.0,2021-06-11 21:58:58.609999
21102303160,263,111,213,5.33,26.8,24.07,121.65,49.0,2021-10-23 03:16:04.620000
20111121330,258,106,128,5.33,33.47,21.6,121.83,268.0,2020-11-11 21:33:26.980000
20062912520,325,150,311,5.32,64.59,24.3,122.34,119.0,2020-06-29 12:52:48.340000
20110317590,268,117,219,5.32,123.5,21.19,121.83,284.0,2020-11-03 17:59:06.019999
20101715020,463,315,421,5.31,15.8,23.28,120.38,21.0,2020-10-17 15:03:13.619999
20021511040,447,275,378,5.31,9.05,23.85,121.52,77.0,2020-02-15 11:05:00.480000
21022201500,305,127,284,5.31,107.89,22.62,121.56,140.0,2021-02-22 01:50:49.759999
21111702250,273,113,213,5.31,10.0,24.78,122.18,120.0,2021-11-17 02:25:35.130000
20022511130,475,287,403,5.3,5.13,24.39,121.41,34.0,2020-02-25 11:14:02.109999
20041211360,366,176,331,5.29,45.44,24.06,122.2,137.0,2020-04-12 11:36:41.179999
21021718380,306,129,209,5.25,21.68,22.24,121.38,108.0,2021-02-17 18:38:48.659999
21101805490,270,114,225,5.25,31.4,24.2,121.67,29.0,2021-10-18 05:49:18.629999
20052422310,399,228,321,5.24,23.78,24.36,121.95,66.0,2020-05-24 22:31:30.489999
20112913420,280,120,238,5.23,31.77,24.2,122.25,76.0,2020-11-29 13:42:14.669999
20020317020,414,252,350,5.19,33.32,23.57,121.53,107.0,2020-02-03 17:02:56.840000
20021317490,307,136,254,5.19,38.62,24.29,122.12,76.0,2020-02-13 17:49:19.429999
21012509050,241,109,179,5.19,16.9,23.51,123.45,184.0,2021-01-25 09:05:57.840000
21012807280,208,90,161,5.16,9.12,22.54,120.98,96.0,2021-01-28 07:29:31.829999
21012507251,249,103,188,5.14,40.65,23.47,123.53,263.0,2021-01-25 07:27:18.640000
21061105120,326,143,183,5.12,11.32,23.9,121.52,24.0,2021-06-11 05:12:48.899999
21071323440,270,116,196,5.12,5.37,23.93,121.63,46.0,2021-07-13 23:45:27.199999
20021519200,365,189,255,5.1,8.7,23.85,121.52,77.0,2020-02-15 19:20:13.849999
20071204060,300,131,255,5.1,127.9,24.85,122.88,119.0,2020-07-12 04:06:08.609999
20092901140,320,170,202,5.08,11.67,22.37,121.02,67.0,2020-09-29 01:14:17.149999
21100406070,268,113,197,5.08,3.92,24.78,122.25,127.0,2021-10-04 06:07:50.539999
21071322580,245,104,191,5.08,7.05,23.93,121.63,45.0,2021-07-13 22:59:24.539999
21030414240,296,122,214,5.07,9.04,24.77,122.26,127.0,2021-03-04 14:24:57.920000
20062623270,372,186,286,5.05,5.37,23.05,120.84,30.0,2020-06-26 23:27:44.890000
21062316100,274,117,242,5.05,78.54,24.56,122.91,188.0,2021-06-23 16:10:06.280000
21012511390,264,111,246,5.04,100.4,24.83,122.19,136.0,2021-01-25 11:39:23.760000
21062014490,333,147,233,5.03,10.77,23.79,121.47,25.0,2021-06-20 14:50:13.509999
21091904450,253,104,246,5.03,98.06,24.73,122.32,141.0,2021-09-19 04:46:03.700000
21052516460,266,112,215,5.01,20.19,23.94,121.49,28.0,2021-05-25 16:48:00.500000
20111620140,245,104,162,5.01,32.44,21.51,121.01,257.0,2020-11-16 20:14:24.410000
21100704180,258,107,246,5.0,80.53,24.57,122.56,213.0,2021-10-07 04:18:43.460000
20111121350,244,101,90,5.0,47.9,21.54,121.77,272.0,2020-11-11 21:35:34.579999
20091701370,311,159,231,4.99,19.11,23.05,121.33,101.0,2020-09-17 01:37:52.090000
20060701490,342,181,273,4.97,12.1,24.13,121.64,64.0,2020-06-07 01:49:23.260000
21011003230,303,131,245,4.97,13.67,23.78,121.44,40.0,2021-01-10 03:23:29.579999
21062905300,234,98,225,4.96,71.13,24.53,122.18,102.0,2021-06-29 05:30:56.149999
21061107360,320,141,207,4.94,10.78,23.89,121.52,50.0,2021-06-11 07:36:43.990000
